created_at,id,id_str,text,full_text,truncated,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,favorited_by,retweeted,scopes,lang,possibly_sensitive,display_text_width,display_text_range,retweeted_status,quoted_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,metadata,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2023-02-05T18:00:01Z,1622293983324938200,1622293983324938240,"💫 Se cumplen 39 años del debut de Emilio Butragueño con el @realmadrid. 💫
#RealFootball https://t.co/GcTLjKqQ43","💫 Se cumplen 39 años del debut de Emilio Butragueño con el @realmadrid. 💫
#RealFootball https://t.co/GcTLjKqQ43",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,176,2943,FALSE,NA,FALSE,NA,es,FALSE,NA,87,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T17:00:02Z,1622278887890714600,1622278887890714634,"💬 @nachofi1990: “Sabíamos que el partido iba a ser muy complicado.”
#RCDMallorcaRealMadrid https://t.co/QSL5zVakvq","💬 @nachofi1990: “Sabíamos que el partido iba a ser muy complicado.”
#RCDMallorcaRealMadrid https://t.co/QSL5zVakvq",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,89,1851,FALSE,NA,FALSE,NA,es,FALSE,NA,90,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T16:30:00Z,1622271330551832600,1622271330551832589,"💬 @MrAncelotti: “Nos ha afectado mucho el gol encajado tan pronto y el penalti fallado.""
#RCDMallorcaRealMadrid https://t.co/UvqcimZL4O","💬 @MrAncelotti: “Nos ha afectado mucho el gol encajado tan pronto y el penalti fallado.""
#RCDMallorcaRealMadrid https://t.co/UvqcimZL4O",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,135,2285,FALSE,NA,FALSE,NA,es,FALSE,NA,111,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T16:00:02Z,1622263788790755300,1622263788790755328,"Los vicepresidentes Eduardo Fernández de Blas y Pedro López regalaron al mítico exjugador Panenka una camiseta del Real Madrid.
#RealMadrid https://t.co/RtPiQSBVFq","Los vicepresidentes Eduardo Fernández de Blas y Pedro López regalaron al mítico exjugador Panenka una camiseta del Real Madrid.
#RealMadrid https://t.co/RtPiQSBVFq",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,98,1481,FALSE,NA,FALSE,NA,es,FALSE,NA,139,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T15:43:14Z,1622259560789512200,1622259560789512195,"Derrota en Mallorca.
#RealMadrid","Derrota en Mallorca.
#RealMadrid",FALSE,,"<a href=""https://twitter.com"" rel=""nofollow"">Twitter for Advertisers</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,140,2293,FALSE,NA,FALSE,NA,es,NA,NA,32,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T14:57:28Z,1622248044040265700,1622248044040265730,"🏁 FP: @RCD_Mallorca 1-0 @realmadrid
⚽ Nacho (pp) 13' 
#RCDMallorcaRealMadrid | #Emirates https://t.co/BgSyaZaigX","🏁 FP: @RCD_Mallorca 1-0 @realmadrid
⚽ Nacho (pp) 13' 
#RCDMallorcaRealMadrid | #Emirates https://t.co/BgSyaZaigX",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,650,5887,FALSE,NA,FALSE,NA,und,FALSE,NA,88,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T14:33:01Z,1622241891386331100,1622241891386331137,"@David_Alaba @DaniCeballos46 @ToniKroos @atchouameni 🔁 @marianodiaz7 ↔️ @marcoasensio10

#RCDMallorcaRealMadrid | #HankookTire https://t.co/mqrk2xqvEo","@David_Alaba @DaniCeballos46 @ToniKroos @atchouameni 🔁 @marianodiaz7 ↔️ @marcoasensio10

#RCDMallorcaRealMadrid | #HankookTire https://t.co/mqrk2xqvEo",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1622241723026997200,1622241723026997249,14872237,14872237,realmadrid,,,,NA,FALSE,62,889,FALSE,NA,FALSE,NA,und,FALSE,NA,126,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T14:32:21Z,1622241723026997200,1622241723026997249,"🔁 71' | 1-0 | Triple cambio: 

@David_Alaba ↔️ @DaniCeballos46
@ToniKroos ↔️ @atchouameni

#RealMadridSevillaFC | #HankookTire https://t.co/SrSLLkYDdV","🔁 71' | 1-0 | Triple cambio: 

@David_Alaba ↔️ @DaniCeballos46
@ToniKroos ↔️ @atchouameni

#RealMadridSevillaFC | #HankookTire https://t.co/SrSLLkYDdV",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,72,1099,FALSE,NA,FALSE,NA,es,FALSE,NA,126,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T14:23:21Z,1622239458492833800,1622239458492833792,"🔁 64' | 1- 0 | cambio:

@lukamodric10 ↔️ @fedeevalverde

#RCDMallorcaRealMadrid | #HankookTire https://t.co/VKIRISpakC","🔁 64' | 1- 0 | cambio:

@lukamodric10 ↔️ @fedeevalverde

#RCDMallorcaRealMadrid | #HankookTire https://t.co/VKIRISpakC",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,75,1353,FALSE,NA,FALSE,NA,es,FALSE,NA,94,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023-02-05T14:21:05Z,1622238886985441300,1622238886985441281,"59' | 1-0 | Rajković paró el penalti.
#RCDMallorcaRealMadrid","59' | 1-0 | Rajković paró el penalti.
#RCDMallorcaRealMadrid",FALSE,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,71,1469,FALSE,NA,FALSE,NA,ro,NA,NA,60,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
